number,school,address,email
0,강릉원주대학교,"강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교)"
1,강릉원주대학교,"강원도 원주시 흥업면 남원로 150 (흥업리, 강릉원주대학교원주캠퍼스)"
2,강릉원주대학교대학원,"강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교)"
3,강릉원주대학교대학원,"강원도 원주시 흥업면 남원로 150 (흥업리, 강릉원주대학교원주캠퍼스)"
4,강원대학교,"강원도 춘천시 강원대학길 1 (효자동, 강원대학교)"
5,강원대학교,"강원도 삼척시 중앙로 346 (교동, 강원대학교삼척캠퍼스)"
6,강원대학교일반대학원,"강원도 춘천시 강원대학길 1 (효자동, 강원대학교)"
7,경북대학교,"대구광역시 북구 대학로 80 (산격동, 경북대학교)"
8,경북대학교 일반대학원,"대구광역시 북구 대학로 80 (산격동, 경북대학교)"
9,경상대학교,"경상남도 진주시 진주대로 501 (가좌동, 경상대학교)"
10,경상대학교 대학원,"경상남도 진주시 진주대로 501 (가좌동, 경상대학교)"
11,공주대학교,"충청남도 공주시 공주대학로 56 (신관동, 공주대학교)"
12,공주대학교대학원,"충청남도 공주시 공주대학로 56 (신관동, 공주대학교)"
13,군산대학교,"전라북도 군산시 대학로 558 (미룡동, 군산대학교)"
14,군산대학교대학원,"전라북도 군산시 대학로 558 (미룡동, 군산대학교)"
15,금오공과대학교,"경상북도 구미시 대학로 61 (양호동, 금오공과대학교)","kumoh.ac.kr"
16,금오공과대학교대학원,"경상북도 구미시 대학로 61 (양호동, 금오공과대학교)","kumoh.ac.kr"
17,목포대학교,"전라남도 무안군 청계면 영산로 1666 (도림리, 목포대학교)"
18,목포대학교대학원,"전라남도 무안군 청계면 영산로 1666 (도림리, 목포대학교)"
19,부경대학교,"부산광역시 남구 용소로 45 (대연동, 부경대학교대연캠퍼스)"
20,부경대학교대학원,"부산광역시 남구 용소로 45 (대연동, 부경대학교대연캠퍼스)"
21,부산대학교,"부산광역시 금정구 부산대학로63번길 2 (장전동, 부산대학교)"
22,부산대학교 일반대학원,"부산광역시 금정구 부산대학로63번길 2 (장전동, 부산대학교)"
23,서울대학교,"서울특별시 관악구 관악로 1 (신림동, 서울대학교)"
24,서울대학교 대학원,"서울특별시 관악구 관악로 1 (신림동, 서울대학교)"
25,순천대학교,"전라남도 순천시 중앙로 255 (석현동, 순천대학교)"
26,순천대학교일반대학원,"전라남도 순천시 중앙로 255 (석현동, 순천대학교)"
27,안동대학교,"경상북도 안동시 경동로 1375 (송천동, 안동대학교)"
28,안동대학교대학원,"경상북도 안동시 경동로 1375 (송천동, 안동대학교)"
29,전남대학교,"광주광역시 북구 용봉로 77 (용봉동, 전남대학교)"
30,전남대학교,"전라남도 여수시 대학로 50 (둔덕동, 전남대학교여수캠퍼스)"
31,전북대학교,"전라북도 전주시 덕진구 백제대로 567 (금암동, 전북대학교)"
32,전북대학교 대학원,"전라북도 전주시 덕진구 백제대로 567 (금암동, 전북대학교)"
33,제주대학교,"제주특별자치도 제주시 제주대학로 102 (아라일동, 제주대학교)"
34,제주대학교대학원,"제주특별자치도 제주시 제주대학로 102 (아라일동, 제주대학교)"
35,창원대학교,"경상남도 창원시 의창구 창원대학로 20 (사림동, 창원대학교)"
36,창원대학교 대학원,"경상남도 창원시 의창구 창원대학로 20 (사림동, 창원대학교)"
37,충남대학교,"대전광역시 유성구 대학로 99 (궁동, 충남대학교)"
38,충남대학교대학원,"대전광역시 유성구 대학로 99 (궁동, 충남대학교)"
39,충북대학교,"충청북도 청주시 서원구 충대로 1 (개신동, 충북대학교)"
40,충북대학교 대학원,"충청북도 청주시 서원구 충대로 1 (개신동, 충북대학교)"
41,한국교원대학교,"충청북도 청주시 흥덕구 강내면 태성탑연로 250 (다락리, 한국교원대학교)"
42,한국교원대학교대학원,"충청북도 청주시 흥덕구 강내면 태성탑연로 250 (다락리, 한국교원대학교대학원)"
43,한국체육대학교,"서울특별시 송파구 양재대로 1239 (방이동, 한국체육대학교)"
44,한국체육대학교 대학원,"서울특별시 송파구 양재대로 1239 (방이동, 한국체육대학교)"
45,한국해양대학교,"부산광역시 영도구 태종로 727 (동삼동, 한국해양대학교)"
46,한국해양대학교대학원,"부산광역시 영도구 태종로 727 (동삼동, 한국해양대학교)"
47,한국교통대학교,"충청북도 충주시 대소원면 대학로 50 (검단리, 한국교통대학교)"
48,한국교통대학교 대학원,"충청북도 충주시 대소원면 대학로 50 (검단리, 한국교통대학교)"
49,경남과학기술대학교,"경상남도 진주시 동진로 33 (칠암동, 경남과학기술대학교)"
50,경남과학기술대학교 대학원,"경상남도 진주시 동진로 33 (칠암동, 경남과학기술대학교)"
51,서울과학기술대학교,"서울특별시 노원구 공릉로 232 (공릉동, 서울과학기술대학교)"
52,서울과학기술대학교 일반대학원,"서울특별시 노원구 공릉로 232 (공릉동, 서울과학기술대학교)"
53,한경대학교,경기도 안성시 중앙로 327 (석정동)
54,한경대학교 일반대학원,경기도 안성시 중앙로 327 (석정동)
55,한밭대학교,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)"
56,한밭대학교 일반대학원,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)"
57,서울시립대학교,"서울특별시 동대문구 서울시립대로 163 (전농동, 서울시립대학교)"
58,서울시립대학교대학원,"서울특별시 동대문구 서울시립대로 163 (전농동, 서울시립대학교)"
59,인천대학교,"인천광역시 연수구 아카데미로 119 (송도동, 인천대학교)"
60,인천대학교대학원,"인천광역시 연수구 아카데미로 119 (송도동, 인천대학교)"
61,가야대학교,경상남도 김해시 삼계로 208 (삼계동)
62,가야대학교,"경상북도 고령군 대가야읍 대가야로 1103 (지산리, 가야대학교)"
63,가야대학교일반대학원,경상남도 김해시 삼계로 208 (삼계동)
64,가톨릭대학교,"경기도 부천시 원미구 지봉로 43 (역곡동, 가톨릭대학교성심교정)"
65,가톨릭대학교,"서울특별시 서초구 반포대로 222 (반포동, 가톨릭대학교 성모병원)"
66,가톨릭대학교,"서울특별시 종로구 창경궁로 296-12 (혜화동, 가톨릭대학교성신교정)"
67,가톨릭대학교대학원,"경기도 부천시 원미구 지봉로 43 (역곡동, 가톨릭대학교성심교정)"
68,감리교신학대학교,"서울특별시 서대문구 독립문로 56 (냉천동, 감리교신학대학)"
69,감리교신학대학교대학원,"서울특별시 서대문구 독립문로 56 (냉천동, 감리교신학대학)"
70,강남대학교,"경기도 용인시 기흥구 강남로 40 (구갈동, 강남대학교)"
